id	word	definition_ja	example_en	example_ja	kana
1	way	方法、道筋	There are many ways to solve this problem.	この問題を解決する方法はたくさんあります。	このもんだいをかいけつするほうほうはたくさんあります。
2	tour	観光、旅行	I went on a guided tour of the ancient ruins last summer.	昨年の夏、古代遺跡のガイド付きツアーに参加しました。	さくねんのなつ、こだいいせきのがいどつきつあーにさんかしました。
3	penny	1セント硬貨、小額のお金	I found a penny on the street and picked it up.	通りで1セント硬貨を見つけて拾いました。	とおりで1せんとこうかをみつけてひろいました。
4	bad	悪い、ひどい	The weather was so bad that we decided to stay indoors all day.	天気がとても悪かったので、私たちは一日中家の中にいることにしました。	てんきがとてもわるかったので、わたしたちはいちにちじゅういえのなかにいることにしました。
5	should	すべき、必要がある	You should study for your exams to get good grades.	良い成績を取るために、試験勉強をすべきです。	よいせいせきをとるために、しけんべんきょうをすべきです。
6	art	芸術、アート	Art is a wonderful way to express people's emotions and thoughts.	芸術は人々の感情や思考を表現するための素晴らしい方法です。	げいじゅつはひとびとのかんじょうやしこうをひょうげんするためのすばらしいほうほうです。
7	lend	貸す	I lent him a book.	私は彼に本を貸しました。	わたしはかれにほんをかしました。
8	bundle	束、バンドル	He carried a bundle of books home.	彼は本を一束まとめて持って帰りました。	かれはほんをひとたばまとめてもってかえりました。
9	cart	カート	He is pushing a cart as he walks around the store to do his shopping.	彼は買い物をするためにカートを押して店内を回っています。	かれはかいものをするためにかーとをおしててんないをまわっています。
10	remark	発言、コメント	She made a thoughtful remark about the importance of kindness.	彼女は親切の重要性について考えさせられる発言をしました。	かのじょはしんせつのじゅうようせいについてかんがえさせられるはつげんをしました。
11	neighbor	隣人	The neighbor is always kind and lends a hand whenever I need help.	隣人はいつも優しく、助けが必要なときには手を差し伸べてくれます。	りんじんはいつもやさしく、たすけがひつようなときにはてをさしのべてくれます。
12	disgust	嫌悪、嫌悪感	The smell of the rotten food made me feel disgust.	腐った食べ物の匂いで、私は嫌悪感を抱きました。	くさったたべもののにおいで、わたしはけんおかんをいだきました。
13	head	頭、リーダー	She scratched her head, trying to remember the answer.	彼女は頭をかきながら、答えを思い出そうとした。	かのじょはあたまをかきながら、こたえをおもいだそうとした。
14	horizon	地平線、視野の限界	The beautiful sunset was sinking beyond the distant horizon.	遠くの地平線に美しい夕日が沈んでいきました。	とおくのちへいせんにうつくしいゆうひがしずんでいきました。
15	conscious	意識している、気づいている	She was fully conscious during the entire procedure.	彼女は手術中、完全に意識がありました。	かのじょはしゅじゅつちゅう、かんぜんにいしきがありました。
16	the	定冠詞、特定の物や人を指す言葉	The cat sat on the mat.	その猫はマットの上に座っていました。	そのねこはまっとのうえにすわっていました。
17	strong	強い	He has a very strong will, so he can face any challenge.	彼は非常に強い意志を持っているので、どんな困難にも立ち向かうことができます。	かれはひじょうにつよいいしをもっているので、どんなこんなんにもたちむかうことができます。
18	both	両方、双方	He took both opinions into account when making his decision.	彼は両方の意見を考慮に入れて決断を下しました。	かれはりょうほうのいけんをこうりょにいれてけつだんをくだしました。
19	network	ネットワーク、ネットワーク接続	The company has a strong network of professionals in the industry.	その会社には業界の専門家の強力なネットワークがあります。	そのかいしゃにはぎょうかいのせんもんかのきょうりょくなねっとわーくがあります。
20	grateful	感謝している	I am so grateful for the support of my family and friends.	家族と友人に支えられて、とても感謝しています。	かぞくとゆうじんにささえられて、とてもかんしゃしています。
21	plow	耕す、開拓する	The farmer plowed the field.	農民は畑を耕しました。	のうみんははたけをたがやしました。
22	who	誰、どの人	Who is your favorite actor?	あなたの好きな俳優は誰ですか？	あなたのすきなはいゆうはだれですか?
23	joy	喜び、楽しみ	The children were filled with joy when they saw the fireworks.	子供たちは花火を見て喜びに満ちました。	こどもたちははなびをみてよろこびにみちました。
24	swing	揺れる、ぶらぶらする	The children are swinging on the swings at the park.	子供たちは公園でブランコを揺さぶって遊んでいます。	こどもたちはこうえんでぶらんこをゆさぶってあそんでいます。
25	thus	このように、したがって	I forgot my umbrella; thus, I got soaked in the rain.	傘を忘れたので、その結果、雨でびしょ濡れになりました。	かさをわすれたので、そのけっか、あめでびしょぬれになりました。
26	though	しかし、～にもかかわらず	Though it was raining, we decided to go for a walk.	雨が降っていたが、私たちは散歩に行くことに決めた。	あめがふっていたが、わたしたちはさんぽにいくことにきめた。
27	command	命令	He gave a clear command to his subordinates.	彼は部下に明確な命令を出しました。	かれはぶかにめいかくなめいれいをだしました。
28	truth	真実	Knowing the truth can be painful at times, but it is essential.	真実を知ることは時に辛いことですが、重要です。	しんじつをしることはときにつらいことですが、じゅうようです。
29	insurance	保険、補償のための契約	It is important to have health insurance to cover medical expenses.	医療費をカバーするために健康保険に入ることは重要です。	いりょうひをかばーするためにけんこうほけんにはいることはじゅうようです。
30	fill	満たす、充填する	Please fill the form with your personal information.	個人情報をフォームに記入してください。	こじんじょうほうをふぉーむにきにゅうしてください。
31	indeed	実際に、本当に、確かに	She is indeed a talented musician.	彼女は実際に才能のある音楽家です。	かのじょはじっさいにさいのうのあるおんがくかです。
32	cup	カップ、飲料を入れる容器	She poured her coffee into a large cup.	彼女は大きなカップにコーヒーを注ぎました。	かのじょはおおきなかっぷにこーひーをそそぎました。
33	match	一致、合致すること	The colors of her dress perfectly match the decorations in the room.	彼女のドレスの色は部屋の装飾と完璧に合っています。	かのじょのどれすのいろはへやのそうしょくとかんぺきにあっています。
34	officer	職員、役人、警察官	The police officer helped us find our way home.	その警察官は私たちが家に帰るための道を教えてくれました。	そのけいさつかんはわたしたちがいえにかえるためのみちをおしえてくれました。
35	someone	誰か、ある人	Someone left their umbrella in the hallway.	誰かが廊下に傘を置き忘れました。	だれかがろうかにかさをおきわすれました。
