id	word	definition_en	definition_ja	example_en	example_ja	kana	level	grouping	similar_ids
1	way	a method, style, or manner of doing something; a route or path	方法、道筋	There are many ways to solve this problem.	この問題を解決する方法はたくさんあります。	このもんだいをかいけつするほうほうはたくさんあります。	1	4	13028,10350,9477,1434,1792,9975,10026,521,10495,10293
2	tour	a journey for pleasure in which several different places are visited	観光、旅行	I went on a guided tour of the ancient ruins last summer.	昨年の夏、古代遺跡のガイド付きツアーに参加しました。	さくねんのなつ、こだいいせきのがいどつきつあーにさんかしました。	1	4	825,11619,6803,9518,5064,3741,7528,9693,10214,8953
3	penny	a small unit of currency used in the UK and historically in the US; also used to refer to a very small amount of money	1セント硬貨、小額のお金	I found a penny on the street and picked it up.	通りで1セント硬貨を見つけて拾いました。	とおりで1せんとこうかをみつけてひろいました。	1	4	626,12989,783,106,2012,4395,94,1399,14125,12010
4	bad	not good in any manner; undesirable or unfavorable	悪い、ひどい	The weather was so bad that we decided to stay indoors all day.	天気がとても悪かったので、私たちは一日中家の中にいることにしました。	てんきがとてもわるかったので、わたしたちはいちにちじゅういえのなかにいることにしました。	1	2	14361,6004,13580,11062,6237,12277,12691,9701,13168,6497
5	should	used to indicate obligation, duty, or correctness; to express expectation or likelihood	すべき、必要がある	You should study for your exams to get good grades.	良い成績を取るために、試験勉強をすべきです。	よいせいせきをとるために、しけんべんきょうをすべきです。	1	0	2221,12500,1636,12903,1300,8962,2267,62,1166,6036
6	art	the expression or application of human creative skill and imagination, producing works to be appreciated primarily for their beauty or emotional power	芸術、アート	Art is a wonderful way to express people's emotions and thoughts.	芸術は人々の感情や思考を表現するための素晴らしい方法です。	げいじゅつはひとびとのかんじょうやしこうをひょうげんするためのすばらしいほうほうです。	1	3	10641,7239,9206,4999,10019,1961,8742,7890,9076,918
7	lend	to give something to someone temporarily, expecting it to be returned	貸す	I lent him a book.	私は彼に本を貸しました。	わたしはかれにほんをかしました。	1	1	945,14158,1511,10275,1964,3326,12686,6085,7681,4095
8	bundle	a collection of things tied or wrapped together	束、バンドル	He carried a bundle of books home.	彼は本を一束まとめて持って帰りました。	かれはほんをひとたばまとめてもってかえりました。	1	4	164,840,8045,288,430,9803,12615,2287,6189,12740
9	cart	a vehicle with either two or four wheels drawn by a horse, used for transporting goods or passengers	カート	He is pushing a cart as he walks around the store to do his shopping.	彼は買い物をするためにカートを押して店内を回っています。	かれはかいものをするためにかーとをおしててんないをまわっています。	1	4	1003,13692,741,10362,5693,3003,10631,2108,10055,13880
10	remark	a comment or statement expressing an opinion or reaction	発言、コメント	She made a thoughtful remark about the importance of kindness.	彼女は親切の重要性について考えさせられる発言をしました。	かのじょはしんせつのじゅうようせいについてかんがえさせられるはつげんをしました。	1	4	9138,10032,9829,11299,8362,11363,10297,5987,6001,3752
11	neighbor	a person living near or next door to you	隣人	The neighbor is always kind and lends a hand whenever I need help.	隣人はいつも優しく、助けが必要なときには手を差し伸べてくれます。	りんじんはいつもやさしく、たすけがひつようなときにはてをさしのべてくれます。	1	4	12091,12852,2106,12933,2648,4337,2670,3094,7303,12911
12	disgust	a strong feeling of dislike or disapproval	嫌悪、嫌悪感	The smell of the rotten food made me feel disgust.	腐った食べ物の匂いで、私は嫌悪感を抱きました。	くさったたべもののにおいで、わたしはけんおかんをいだきました。	2	2	4326,14536,8324,13634,4979,8089,7659,1893,13743,6752
13	head	the uppermost or forward part of the body, containing the brain, eyes, ears, nose, and mouth	頭	I have a headache.	頭が痛い。	あたまがいたい。	1	4	1805,5051,3767,2095,336,4567,1516,563,5616,13829
14	horizon	the line where the earth's surface and the sky appear to meet	地平線、視野の限界	The beautiful sunset was sinking beyond the distant horizon.	遠くの地平線に美しい夕日が沈んでいきました。	とおくのちへいせんにうつくしいゆうひがしずんでいきました。	1	4	2153,186,11416,1173,12404,6626,4968,661,8289,1685
15	conscious	aware of and responding to one's surroundings; awake	意識している、気づいている	She was fully conscious during the entire procedure.	彼女は手術中、完全に意識がありました。	かのじょはしゅじゅつちゅう、かんぜんにいしきがありました。	1	3	14072,7429,205,12085,14392,1082,14366,7445,7233,10239
16	the	used to refer to a specific thing or person that has already been mentioned or is common knowledge	定冠詞、特定の物や人を指す言葉	The cat sat on the mat.	その猫はマットの上に座っていました。	そのねこはまっとのうえにすわっていました。	1	0	1235,9600,1931,545,7013,2092,12526,9774,12738,9585
17	strong	having great power, strength, or influence	強い	He has a very strong will, so he can face any challenge.	彼は非常に強い意志を持っているので、どんな困難にも立ち向かうことができます。	かれはひじょうにつよいいしをもっているので、どんなこんなんにもたちむかうことができます。	1	3	9679,8829,7050,9849,4493,3705,5062,7150,8313,8065
18	both	the two together; the two considered jointly	両方、双方	He took both opinions into account when making his decision.	彼は両方の意見を考慮に入れて決断を下しました。	かれはりょうほうのいけんをこうりょにいれてけつだんをくだしました。	1	0	12343,695,5535,12064,12479,11113,6299,6421,4225,10868
19	network	a group or system of interconnected people or things	ネットワーク、ネットワーク接続	The company has a strong network of professionals in the industry.	その会社には業界の専門家の強力なネットワークがあります。	そのかいしゃにはぎょうかいのせんもんかのきょうりょくなねっとわーくがあります。	1	4	7770,1778,12615,8045,164,10000,675,6784,10058,3896
20	grateful	feeling or showing thankfulness for kindness or benefits received	感謝している	I am so grateful for the support of my family and friends.	家族と友人に支えられて、とても感謝しています。	かぞくとゆうじんにささえられて、とてもかんしゃしています。	1	3	8689,14380,12589,412,8992,5735,3391,309,8020,1385
21	plow	a tool used to turn over soil in farming, often also used as a verb meaning to prepare land for planting.	耕す、開拓する	The farmer plowed the field.	農民は畑を耕しました。	のうみんははたけをたがやしました。	2	1	821,13180,1922,784,1371,458,1354,3344,14314,13085
